        MB  Type                  Source      Name
      0.25  Texture2D             inline      Texture_TopographicGame_Indicator_Metallic
      0.25  Texture2D             inline      orbitron-light SDF Atlas
      0.25  Texture2D             inline      orbitron-medium SDF Atlas
      0.25  Texture2D             inline      orbitron-bold SDF Atlas
      0.25  Texture2D             inline      orbitron-bold SDF Atlas
      0.25  Texture2D             inline      orbitron-bold SDF Atlas
      0.25  Texture2D             inline      orbitron-light SDF Atlas
      0.25  Texture2D             inline      orbitron-black SDF Atlas
      0.25  Shader                object      
      0.25  AnimationClip         object      Toppo_GA5_1_Angry
      0.25  Texture2D             inline      Texture_Jasper_Eyelid_Diffuse_Transparent
      0.24  AnimationClip         object      Anderson_U1_WorkingonMachine
      0.24  AudioClip             m_Resource  19_Anderson_19
      0.24  Texture2D             inline      Atlas_TechProps_Normal
      0.24  Texture2D             inline      UI_SoilKey_WaterLevel
      0.23  Shader                object      
      0.23  Texture2D             inline      TextureWork_DefaultMaterial_Normal 1
      0.23  AudioClip             m_Resource  basecamp_campfire_crackle
      0.23  Texture2D             inline      Atlas_EscapePods
      0.23  Mesh                  mesh-data   Terrain
      0.23  AudioClip             m_Resource  Animation Clip_Tera_08_Solve
      0.23  AnimationClip         object      Toppo_TC4_1_ClearThroat
      0.23  AnimationClip         object      Toppo_GA5_2_Idle
      0.22  Texture2D             inline      Atlas_MHS_BlueRegion_Normal
      0.22  AudioClip             m_Resource  20_Toppo_91
      0.22  AudioClip             m_Resource  19_Anderson_41
      0.22  AudioClip             m_Resource  19_Anderson_4
      0.22  AudioClip             m_Resource  Animation Clip_Tera_02_Crashed
      0.22  Texture2D             inline      Atlas_AlienProps_MagentaRegion_Emissive
      0.21  Texture2D             inline      UI_ArgumentsButton_Active
      0.21  AnimationClip         object      Tera_GA6_1_Exasperation
      0.21  AudioClip             m_Resource  21_Toppo_45
      0.21  Texture2D             inline      Atlas_EscapePods_Normal
      0.21  Texture2D             inline      UI_Classifier_Reasoning_Inactive
      0.21  Texture2D             inline      UI_Classifier_Reasoning_Active
      0.21  AudioClip             m_Resource  21_Tera_86
      0.20  Texture2D             inline      UI_Argumentation_Orb_Evidence_Empty 1
      0.20  AnimationClip         object      Player_LookAround
      0.20  Texture2D             inline      Texture_AlienDungeon_Hexagon_Normal
      0.20  AudioClip             m_Resource  19_Anderson_39
      0.20  AudioClip             m_Resource  18_Anderson_65
      0.20  AudioClip             m_Resource  electricity_sparks_light
      0.19  AudioClip             m_Resource  Animation Clip_Tera_07_Watershed
      0.19  AudioClip             m_Resource  21_Tera_88
      0.19  AudioClip             m_Resource  20_Toppo_73
      0.19  Texture2D             inline      Texture_Aryn_Normal
      0.19  Texture2D             inline      UI_Map_Mountain_West_Glow
      0.19  AnimationClip         object      U3_Crate_PickupFail
      0.19  Texture2D             inline      UI_Marker_Panel
      0.19  AnimationClip         object      Jasper_GA2_2_LookUp_Idle
      0.19  AudioClip             m_Resource  Animation Clip_Tera_03_Cameras
      0.19  AnimationClip         object      Jasper_GA1_1_Idle
      0.19  Shader                object      
      0.19  AudioClip             m_Resource  19_Anderson_21
      0.19  AudioClip             m_Resource  18_Anderson_98
      0.19  Texture2D             inline      UI_Argumentation_BackingInfo_Holder_Panel_Submit
      0.19  Texture2D             inline      UI_Argumentation_BackingInfo_Holder_Panel
      0.19  AudioClip             m_Resource  74_Player_22
      0.19  AudioClip             m_Resource  U1Topo5
      0.19  AnimationClip         object      Animation Clip_NSP_ArmLoop01
      0.19  AnimationClip         object      U3_Player_CrateIdle_LeftHand
      0.18  Texture2D             inline      UI_Map_Legend_OutlineGlow
      0.18  Texture2D             inline      Texture_Eye_Matched
      0.18  AudioClip             m_Resource  19_DANI_46
      0.18  AudioClip             m_Resource  74_Player_21
      0.18  Texture2D             inline      Atlas_TechProps
      0.18  AnimationClip         object      Hoverboard_Anderson_Bumpy
      0.18  Texture2D             inline      Texture_Sam_Height
      0.18  AudioClip             m_Resource  21_Tera_63
      0.18  Texture2D             inline      Atlas_AlienProps_GreenRegion_Emissive
      0.18  AudioClip             m_Resource  18_DANI_193
      0.18  Texture2D             inline      Tex_AlienTrim_Normal
      0.18  Shader                object      
      0.18  AudioClip             m_Resource  20_Toppo_61
      0.18  AudioClip             m_Resource  22_Aryn_34
      0.18  AudioClip             m_Resource  103_Jasper_7
      0.18  AudioClip             m_Resource  26_Toppo_182
      0.18  AudioClip             m_Resource  68_DANI_15
      0.18  AnimationClip         object      Tera_GA3_2_LookAround
      0.18  Mesh                  mesh-data   Combined Mesh (root: scene) 3
      0.18  Shader                object      
      0.18  AnimationClip         object      Aryn_GA3_1_Annoyed_Idle
      0.18  AnimationClip         object      U3_Player_CrateIdle_RightHand
      0.17  AudioClip             m_Resource  soundlist_small_explosions
      0.17  Mesh                  mesh-data   Combined Mesh (root: scene) 5
      0.17  Texture2D             inline      Texture_BronzePlasterTEMP
      0.17  Mesh                  mesh-data   Combined Mesh (root: scene) 4
      0.17  Shader                object      
      0.17  AnimationClip         object      Tera_GA1_2_HandGesture
      0.17  AudioClip             m_Resource  22_Aryn_12
      0.17  AnimationClip         object      Toppo_GA2_2_Idle
      0.17  AudioClip             m_Resource  20_Toppo_60
      0.17  AnimationClip         object      Animation Clip_Player_Idle
      0.17  Texture2D             inline      Atlas_MHS_Other
      0.17  AudioClip             m_Resource  18_DANI_265
      0.17  AnimationClip         object      Player_Watch
      0.17  AudioClip             m_Resource  22_Aryn_45
      0.17  Texture2D             inline      UI_Argumentation_InformationPanel
      0.17  Texture2D             inline      TextureWork_DefaultMaterial_BaseMap purple
      0.17  AudioClip             m_Resource  21_Tera_21
